"","team","seasons_n","total_games","total_PA","AVG","OBP","SLG","OPS","HR_per_PA","K_pct","BB_pct","avg_temp","pct_day","pct_evening","pct_night","pct_cloudy"
"1","Acereros del Norte",3,227,9005,0.292348686714884,0.362132148806219,0.446263164573024,0.808395313379243,0.0278734036646308,0.183342587451416,0.0920599666851749,86.5345028728166,0.0477260241925208,0.859307541897118,0.0929664339103614,0.701957336400107
"2","Algodoneros Union Laguna",3,229,8912,0.279325988334413,0.359403052064632,0.448088139987038,0.80749119205167,0.0280520646319569,0.184582585278276,0.100875224416517,89.6450268543053,0.0483329961596714,0.898339467589379,0.0533275362509499,0.551290926560034
"3","Bravos de Leon",3,226,9085,0.295776428932726,0.370500825536599,0.478502781992919,0.849003607529517,0.0324711062190424,0.198899284534948,0.0970831040176114,83.9683265396429,0.069243916959992,0.881079439035865,0.0496766440041429,0.713614391557554
"4","Caliente de Durango",3,230,9090,0.284519888522929,0.363256325632563,0.426779832784393,0.790036158416956,0.0224422442244224,0.205610561056106,0.102310231023102,81.1066523046024,0.0775950971818511,0.888233246355773,0.0341716564623754,0.625087917939622
"5","Charros de Jalisco",3,230,9061,0.286821705426357,0.365853658536585,0.449866565001906,0.815720223538491,0.0271493212669683,0.193907957179119,0.101092594636354,83.4706370572267,0.097999777999778,0.854631996134886,0.0473682258653357,0.625065262290696
"6","Conspiradores de Queretaro",3,225,9000,0.307555329432714,0.382777777777778,0.494149071483083,0.876926849260861,0.0366666666666667,0.173444444444444,0.102111111111111,79.0313124223038,0.128193251524971,0.809109878338298,0.0626968701367309,0.720094298720618
"7","Diablos Rojos del Mexico",3,224,9219,0.318711617997243,0.395270636728495,0.512846221330994,0.908116858059489,0.0348193947282786,0.17952055537477,0.11085801063022,79.3790300917079,0.232194716231534,0.723843088798735,0.043962194969731,0.775486918682377
"8","Dorados de Chihuahua",3,231,9175,0.293738375697458,0.362397820163488,0.42529448233106,0.787692302494548,0.0188555858310627,0.186594005449591,0.0913351498637602,85.7778477948971,0.109700587520971,0.832269019835419,0.0580303926436105,0.504309139286102
"9","El Aguila de Veracruz",3,228,8835,0.271619496855346,0.350650820599887,0.420859538784067,0.771510359383954,0.0255800792303339,0.192869269949066,0.101754385964912,84.4949888060097,0.0803545119744138,0.890746726495894,0.0288987615296925,0.709696282122433
"10","Guerreros de Oaxaca",3,228,9309,0.308393935658819,0.38113653453647,0.495254529767041,0.876391064303511,0.0341604898485337,0.177247824685788,0.100655279836717,80.4678645091008,0.180584399262192,0.769747702751492,0.0496678979863167,0.732659241673949
"11","Leones de Yucatan",3,224,8803,0.272619829284307,0.354765420879246,0.424425476034143,0.779190896913389,0.0287402022037942,0.180165852550267,0.107236169487675,86.6980823340893,0.0738539383119721,0.864379552053166,0.0617665096348622,0.679304395036
"12","Olmecas de Tabasco",3,231,9020,0.285368031636688,0.35920177383592,0.43258068631203,0.79178246014795,0.0242793791574279,0.167960088691796,0.098780487804878,85.8678491457358,0.0684496898047902,0.890706691516541,0.0408436186786685,0.597630484328817
"13","Pericos de Puebla",3,226,8698,0.29661912308505,0.365371349735571,0.475567881669308,0.840939231404879,0.0323062773051276,0.166704989652794,0.0933547942055645,78.5292143323105,0.237271305248863,0.720261205143482,0.0424674896076553,0.758345709195618
"14","Piratas de Campeche",3,220,8397,0.264334705075446,0.347385971180183,0.414951989026063,0.762337960206247,0.0285816362986781,0.199237823032035,0.0997975467428844,84.924581314119,0.122724573049931,0.827214412642336,0.0500610143077326,0.680835450726127
"15","Rieleros de Aguascalientes",3,228,8903,0.310440952863659,0.375603729080085,0.476558540293969,0.852162269374054,0.0305514994945524,0.171515219588903,0.0878355610468382,81.2510739606316,0.0855156077895526,0.855589382018872,0.0588950101915755,0.701420401400171
"16","Saraperos de Saltillo",3,227,9117,0.295287560172283,0.370187561697927,0.44400810742336,0.814195669121286,0.025117911593726,0.174180103104091,0.0933421081496106,80.2271503141204,0.0642587677947061,0.85993373646754,0.0758074957377538,0.678586290077703
"17","Sultanes de Monterrey",3,228,9018,0.290265486725664,0.360501219782657,0.452970922882427,0.813472142665084,0.0275005544466622,0.174761587935241,0.0945886005766245,85.2910011483151,0.113154282133372,0.832886167189311,0.0539595506773171,0.680203607464926
"18","Tecos de los Dos Laredos",3,232,9117,0.286828531890804,0.362619282658769,0.428481570008806,0.791100852667576,0.0242404299659976,0.181199956125919,0.100910387188768,88.0410913648328,0.0653294159387754,0.66843450730501,0.266236076756215,0.558477844935428
"19","Tigres de Quintana Roo",3,227,8614,0.257731958762887,0.331785465521244,0.3949246629659,0.726710128487145,0.0242628279544927,0.200371488274901,0.0922916182957975,83.6262308793518,0.0813755258130352,0.853671314383948,0.0649531598030165,0.552070587811173
"20","Toros de Tijuana",3,229,8991,0.273289524545806,0.358580803025247,0.438216724648885,0.796797527674133,0.0293626960293627,0.199866533199867,0.108330552774997,74.7107032238589,0.0427584185073776,0.880128272396147,0.0771133090964751,0.457476927488696
